,country,number_addresses,continent
22,Germany,23359,Europe
4,Austria,4323,Europe
20,France,3104,Europe
12,Canada,2947,North America
53,Netherlands,2684,Europe
7,Belgium,2014,Europe
72,Switzerland,1851,Europe
60,Poland,1808,Europe
69,Spain,1550,Europe
32,Italy,1197,Europe
67,Slovenia,1097,Europe
16,Czechia,995,Europe
14,Croatia,873,Europe
64,Serbia,837,Europe
23,Greece,828,Europe
8,Bosnia and Herzegovina,748,Europe
13,China,486,Asia
61,Portugal,475,Europe
18,Estonia,353,Europe
25,Hungary,339,Europe
19,Finland,321,Europe
66,Slovakia,312,Europe
62,Romania,289,Europe
17,Denmark,252,Europe
77,Ukraine,243,Europe
10,Bulgaria,215,Europe
27,India,169,Asia
75,Turkey,159,Asia
5,Bangladesh,148,Asia
42,Lithuania,110,Europe
79,United Kingdom,99,Europe
43,Luxembourg,96,Europe
24,Hong Kong,88,Asia
57,Pakistan,72,Asia
82,Vietnam,69,Asia
71,Sweden,68,Europe
50,Montenegro,64,Europe
38,Latvia,61,Europe
28,Indonesia,60,Asia
78,United Arab Emirates,38,Asia
39,Lebanon,36,Asia
45,Malta,33,Europe
15,Cyprus,32,Asia
47,Moldova,27,Europe
55,North Macedonia,24,Europe
80,United States,23,North America
70,Sri Lanka,18,Asia
6,Belarus,17,Europe
2,Armenia,16,Asia
35,Kazakhstan,15,Asia
30,Ireland,14,Europe
81,Uzbekistan,13,Asia
0,Albania,13,Europe
52,Myanmar,13,Asia
36,Kuwait,12,Asia
11,Cambodia,10,Asia
76,Turkmenistan,8,Asia
1,Andorra,6,Europe
34,Jordan,6,Asia
40,Lesotho,6,Africa
63,Saudi Arabia,5,Asia
49,Mongolia,5,Asia
74,Tunisia,4,Africa
37,Kyrgyzstan,4,Asia
21,Georgia,3,Asia
48,Monaco,3,Europe
65,Singapore,3,Asia
56,Norway,3,Europe
73,Thailand,3,Asia
33,Japan,2,Asia
26,Iceland,1,Europe
9,Brazil,1,South America
3,Australia,1,Oceania
29,Iran,1,Asia
68,South Africa,1,Africa
31,Israel,1,Asia
54,New Zealand,1,Oceania
44,Malaysia,1,Asia
46,Mexico,1,North America
59,Philippines,1,Asia
58,Peru,1,South America
51,Morocco,1,Africa
41,Liechtenstein,1,Europe
